word,frequency,year
us,33,2016
thats,30,2016
world,24,2016
will,22,2016
america,21,2016
people,21,2016
can,20,2016
work,20,2016
years,18,2016
year,17,2016
make,17,2016
new,16,2016
american,16,2016
just,16,2016
economy,15,2016
change,15,2016
now,15,2016
americans,15,2016
weve,14,2016
every,14,2016
want,14,2016
better,13,2016
even,13,2016
need,13,2016
see,13,2016
country,12,2016
future,12,2016
get,12,2016
like,11,2016
job,11,2016
security,10,2016
back,10,2016
way,10,2016
past,9,2016
still,9,2016
one,9,2016
keep,9,2016
time,9,2016
know,9,2016
right,9,2016
workers,9,2016
system,8,2016
jobs,8,2016
voices,8,2016
also,8,2016
leadership,8,2016
isil,8,2016
doesnt,8,2016
next,8,2016
big,7,2016
power,7,2016
energy,7,2016
together,7,2016
politics,7,2016
war,7,2016
made,7,2016
going,7,2016
im,7,2016
care,7,2016
everything,7,2016
give,7,2016
cut,6,2016
dont,6,2016
help,6,2016
opportunity,6,2016
democracy,6,2016
families,6,2016
many,6,2016
well,6,2016
best,6,2016
agree,6,2016
cant,6,2016
tonight,6,2016
without,6,2016
economic,6,2016
states,6,2016
needs,5,2016
progress,5,2016
basic,5,2016
take,5,2016
health,5,2016
nearly,5,2016
go,5,2016
americas,5,2016
seven,5,2016
political,5,2016
happen,5,2016
lot,5,2016
kids,5,2016
believe,5,2016
military,5,2016
come,5,2016
place,5,2016
last,5,2016
start,5,2016
president,5,2016
especially,5,2016
may,5,2016
countries,5,2016
spirit,5,2016
congress,5,2016
matter,5,2016
sure,5,2016
national,5,2016
planet,5,2016
got,5,2016
vote,5,2016
business,5,2016
love,5,2016
everyone,4,2016
hard,4,2016
pay,4,2016
international,4,2016
much,4,2016
hardworking,4,2016
foreign,4,2016
ill,4,2016
money,4,2016
stand,4,2016
done,4,2016
everybody,4,2016
oil,4,2016
nation,4,2016
safe,4,2016
wont,4,2016
allies,4,2016
makes,4,2016
talk,4,2016
government,4,2016
answer,4,2016
businesses,4,2016
around,4,2016
harder,4,2016
history,4,2016
away,4,2016
important,4,2016
ways,4,2016
look,4,2016
changes,4,2016
single,4,2016
communities,4,2016
almost,4,2016
approach,4,2016
elected,4,2016
save,4,2016
education,4,2016
first,4,2016
terrorists,4,2016
told,4,2016
less,4,2016
comes,4,2016
theres,4,2016
things,4,2016
working,4,2016
words,4,2016
science,4,2016
retirement,4,2016
travel,4,2016
day,4,2016
pass,4,2016
climate,4,2016
student,4,2016
final,4,2016
long,4,2016
fellow,4,2016
century,3,2016
training,3,2016
terrorist,3,2016
put,3,2016
united,3,2016
two,3,2016
medical,3,2016
hes,3,2016
troops,3,2016
generations,3,2016
serious,3,2016
open,3,2016
protect,3,2016
college,3,2016
state,3,2016
means,3,2016
justice,3,2016
nations,3,2016
let,3,2016
agreement,3,2016
fighting,3,2016
shouldnt,3,2016
qaeda,3,2016
incredible,3,2016
live,3,2016
thing,3,2016
play,3,2016
set,3,2016
rules,3,2016
community,3,2016
others,3,2016
young,3,2016
reason,3,2016
issues,3,2016
citizen,3,2016
push,3,2016
cuts,3,2016
average,3,2016
quiet,3,2016
office,3,2016
feel,3,2016
focus,3,2016
program,3,2016
great,3,2016
chamber,3,2016
strength,3,2016
build,3,2016
syria,3,2016
wants,3,2016
fall,3,2016
mr,3,2016
end,3,2016
equal,3,2016
crisis,3,2016
true,3,2016
resources,3,2016
control,3,2016
benefits,3,2016
support,3,2016
line,3,2016
good,3,2016
getting,3,2016
didnt,3,2016
commitment,3,2016
global,3,2016
lead,3,2016
face,3,2016
use,3,2016
middle,3,2016
strongest,3,2016
biggest,3,2016
speaker,3,2016
life,3,2016
else,3,2016
strong,3,2016
family,3,2016
fact,3,2016
show,3,2016
interests,3,2016
citizens,3,2016
isnt,3,2016
might,3,2016
kind,3,2016
whats,3,2016
al,3,2016
second,3,2016
rights,3,2016
fair,3,2016
reflect,3,2016
built,3,2016
say,3,2016
tougher,3,2016
commerce,2,2016
insurance,2,2016
whatever,2,2016
party,2,2016
anew,2,2016
corporate,2,2016
overnight,2,2016
alone,2,2016
fear,2,2016
person,2,2016
saw,2,2016
interest,2,2016
networks,2,2016
civilians,2,2016
vice,2,2016
iowa,2,2016
school,2,2016
choices,2,2016
clean,2,2016
retrain,2,2016
chance,2,2016
depends,2,2016
whether,2,2016
already,2,2016
