word,frequency,year
will,48,2001
must,38,2001
budget,26,2001
tax,22,2001
government,17,2001
one,16,2001
can,16,2001
years,15,2001
security,15,2001
social,15,2001
money,15,2001
america,14,2001
people,14,2001
health,13,2001
energy,13,2001
year,13,2001
help,13,2001
country,12,2001
good,12,2001
work,12,2001
make,12,2001
care,12,2001
medicare,11,2001
children,11,2001
new,11,2001
percent,10,2001
needs,10,2001
pay,10,2001
want,10,2001
every,10,2001
us,10,2001
many,10,2001
now,9,2001
need,9,2001
nations,9,2001
relief,9,2001
reform,9,2001
two,8,2001
10,8,2001
debt,8,2001
next,8,2001
let,8,2001
tonight,8,2001
meet,8,2001
fund,8,2001
schools,8,2001
federal,8,2001
freedom,8,2001
spending,8,2001
americas,8,2001
time,7,2001
rate,7,2001
important,7,2001
come,7,2001
nation,7,2001
plan,7,2001
national,7,2001
billion,7,2001
additional,7,2001
yet,7,2001
great,7,2001
also,7,2001
taxes,7,2001
americans,7,2001
military,7,2001
get,7,2001
dollars,7,2001
increase,6,2001
support,6,2001
funding,6,2001
congress,6,2001
earn,6,2001
together,6,2001
american,6,2001
promote,6,2001
hope,6,2001
income,6,2001
families,6,2001
peace,6,2001
reading,6,2001
programs,6,2001
education,6,2001
end,5,2001
road,5,2001
courage,5,2001
school,5,2001
retirement,5,2001
much,5,2001
sound,5,2001
coverage,5,2001
responsible,5,2001
mayor,5,2001
teaching,5,2001
surplus,5,2001
pays,5,2001
test,5,2001
act,5,2001
steven,5,2001
public,5,2001
strong,5,2001
child,5,2001
right,5,2001
different,5,2001
citizens,5,2001
better,5,2001
making,5,2001
see,5,2001
welcome,5,2001
president,5,2001
josefina,4,2001
personal,4,2001
put,4,2001
defense,4,2001
resources,4,2001
benefits,4,2001
take,4,2001
quality,4,2001
trade,4,2001
way,4,2001
free,4,2001
thank,4,2001
spend,4,2001
community,4,2001
5,4,2001
family,4,2001
access,4,2001
high,4,2001
show,4,2001
asked,4,2001
increased,4,2001
continue,4,2001
never,4,2001
history,4,2001
keep,4,2001
first,4,2001
give,4,2001
groups,4,2001
trillion,4,2001
highest,4,2001
start,4,2001
say,4,2001
funds,3,2001
far,3,2001
may,3,2001
alone,3,2001
environment,3,2001
local,3,2001
hard,3,2001
medical,3,2001
big,3,2001
compassion,3,2001
current,3,2001
return,3,2001
basic,3,2001
economy,3,2001
often,3,2001
street,3,2001
small,3,2001
develop,3,2001
ago,3,2001
city,3,2001
less,3,2001
comes,3,2001
priority,3,2001
things,3,2001
secretary,3,2001
washington,3,2001
men,3,2001
day,3,2001
math,3,2001
threats,3,2001
private,3,2001
senior,3,2001
effort,3,2001
laura,3,2001
means,3,2001
another,3,2001
problems,3,2001
leave,3,2001
fight,3,2001
workers,3,2001
difference,3,2001
confront,3,2001
sure,3,2001
honor,3,2001
still,3,2001
faithbased,3,2001
place,3,2001
provide,3,2001
improve,3,2001
given,3,2001
million,3,2001
ask,3,2001
know,3,2001
seniors,3,2001
add,3,2001
join,3,2001
left,3,2001
funded,3,2001
drug,3,2001
growing,3,2001
lives,3,2001
lot,3,2001
review,3,2001
economic,3,2001
priorities,3,2001
conservation,3,2001
choice,3,2001
five,3,2001
supporting,3,2001
always,3,2001
number,3,2001
privilege,3,2001
choose,3,2001
rates,3,2001
please,3,2001
agree,3,2001
joe,3,2001
allies,3,2001
quickly,3,2001
picture,3,2001
prescription,3,2001
states,3,2001
propose,3,2001
women,3,2001
prepared,3,2001
skills,3,2001
offer,3,2001
almost,3,2001
approach,3,2001
last,3,2001
save,3,2001
surpluses,2,2001
recruit,2,2001
strategy,2,2001
wrong,2,2001
mr,2,2001
police,2,2001
commission,2,2001
fair,2,2001
says,2,2001
democrat,2,2001
presidents,2,2001
college,2,2001
century,2,2001
challenge,2,2001
percentage,2,2001
marriage,2,2001
values,2,2001
results,2,2001
teacher,2,2001
benefit,2,2001
form,2,2001
message,2,2001
serve,2,2001
based,2,2001
philadelphia,2,2001
initiative,2,2001
system,2,2001
learning,2,2001
punish,2,2001
vice,2,2001
progress,2,2001
john,2,2001
top,2,2001
buy,2,2001
white,2,2001
god,2,2001
secure,2,2001
parks,2,2001
inflation,2,2001
issue,2,2001
bush,2,2001
old,2,2001
invitation,2,2001
whether,2,2001
50,2,2001
produce,2,2001
claims,2,2001
cuts,2,2001
find,2,2001
sixteen,2,2001
savings,2,2001
allowing,2,2001
serious,2,2001
greater,2,2001
waitress,2,2001
conscience,2,2001
ensure,2,2001
forces,2,2001
future,2,2001
create,2,2001
stand,2,2001
grew,2,2001
sources,2,2001
friends,2,2001
noble,2,2001
effective,2,2001
major,2,2001
deserve,2,2001
decisions,2,2001
prepare,2,2001
standards,2,2001
hundred,2,2001
safe,2,2001
generation,2,2001
just,2,2001
justice,2,2001
millions,2,2001
balanced,2,2001
engaged,2,2001
bigger,2,2001
amount,2,2001
charitable,2,2001
15,2,2001
